,Player,Market Value (Euros),Predicted Market Value (Euros),Age,Ball Skills,Defence,Mental,Passing,Physical,Shooting,Goalkeeping
956,Joshua Mees,"1,400,000","1,912,098",24,71.0,17.3,54.3,60.3,69.7,60.5,9.6
957,Alexander Grünwald,"2,200,000","1,911,168",31,71.5,53.7,67.5,69.7,70.4,68.1,12.0
958,Matteo Tosetti,"3,299,999","1,910,930",28,70.0,36.0,58.8,70.0,70.0,57.1,9.2
959,Tom Ince,"1,900,000","1,904,245",28,71.5,30.0,56.7,64.3,68.9,63.8,10.4
960,Fouad Chafik,"1,900,000","1,900,401",33,68.0,74.7,64.8,60.7,68.7,50.2,9.0
961,Joaquín Arzura,"2,700,000","1,897,695",27,61.0,69.3,61.7,66.3,76.0,49.0,13.2
962,Jesús Angulo,"2,700,000","1,897,560",23,71.0,47.7,58.7,68.7,70.7,56.5,11.4
963,Pelly-Ruddock Mpanzu,"1,100,000","1,896,755",26,68.5,65.7,65.7,64.3,77.7,52.6,12.6
964,Gus Ledes,"1,100,000","1,891,763",27,68.0,64.3,65.3,70.7,72.6,65.2,10.4
965,José Arnáiz,"2,300,000","1,891,362",25,70.5,37.0,55.5,64.3,68.7,65.1,12.8
966,Enzio Julião,"999,999","1,887,345",24,67.5,32.7,61.2,50.3,69.3,58.8,9.8
967,Prince Oniangué,"1,500,000","1,886,563",31,67.0,68.3,67.8,61.3,69.4,66.9,10.4
968,Kevin Bua,"2,800,000","1,880,287",27,72.5,35.7,56.3,64.3,73.1,58.2,7.6
969,Lewis Grabban,"3,599,999","1,879,927",32,68.5,26.7,58.7,57.7,66.9,69.5,12.0
970,Lloyd Kelly,"1,799,999","1,875,454",21,68.0,67.3,62.2,61.0,68.3,43.8,9.2
971,Moses Odubajo,"949,999","1,870,366",27,66.0,68.3,65.8,62.7,74.3,51.4,11.4
972,Filip Holender,"1,199,999","1,867,258",26,69.5,21.7,56.2,61.0,67.6,63.9,9.4
973,Choi Chul Soon,"1,900,000","1,866,921",33,65.5,70.3,70.0,65.0,77.3,51.0,13.8
974,Kim Shin Wook,"6,000,000","1,865,269",32,67.0,34.0,63.0,57.0,71.3,69.4,8.4
975,Henrik Bjørdal,"1,400,000","1,864,991",23,69.5,49.0,62.7,71.0,69.1,56.1,10.6
976,Ibrahima Seck,"2,700,000","1,863,899",31,59.0,69.7,68.5,53.7,50.7,50.2,12.2
977,Khaled Narey,"3,800,000","1,860,904",26,69.5,62.0,64.3,66.3,80.0,56.9,13.0
978,Syam Ben Youssef,"1,900,000","1,859,619",31,51.5,71.0,60.5,51.0,61.9,42.8,12.0
979,Aziz Bouhaddouz,"849,999","1,858,245",33,65.5,13.0,60.0,55.7,64.4,69.8,9.2
980,Wilfrid Kaptoum,"1,500,000","1,857,459",24,72.0,62.7,63.5,66.7,66.9,53.2,13.4
981,Django Warmerdam,"1,100,000","1,855,908",25,68.5,63.0,66.8,65.0,75.4,60.2,11.4
982,Pipa,"1,500,000","1,855,542",22,70.5,62.0,61.2,69.0,68.7,56.9,8.2
983,João Pereira,"1,100,000","1,854,880",36,74.0,74.3,73.2,72.0,70.6,61.5,10.6
984,Cristian Colmán,"975,000","1,854,566",26,65.0,22.3,52.8,38.7,68.6,62.5,7.2
985,Ángel Zaldívar,"2,200,000","1,853,359",26,71.5,42.7,56.0,61.3,75.0,65.4,10.2
986,Silvère Ganvoula,"3,399,999","1,852,110",24,61.5,20.7,57.5,40.7,67.7,61.1,11.2
987,Pablo Mouche,"3,499,999","1,848,226",32,74.0,17.0,59.5,68.7,74.0,66.8,13.2
988,Cédric Yambéré,"2,300,000","1,847,235",29,55.5,70.0,58.8,49.3,59.0,35.4,11.4
989,Abdul-Aziz Tetteh,"1,999,999","1,847,080",30,64.0,69.0,68.0,57.7,67.9,49.5,12.0
990,Ismaël Diomandé,"3,399,999","1,844,556",28,67.5,70.0,63.2,66.0,68.3,54.5,11.6
991,Ajdin Hrustić,"1,400,000","1,844,198",24,70.5,55.0,66.0,66.7,65.9,59.9,7.4
992,Kingsley Michael,"1,600,000","1,844,101",21,69.5,51.0,59.7,67.0,71.6,64.8,9.0
993,Sebastián Jurado,"999,999","1,839,201",22,12.0,13.0,26.5,29.3,42.3,14.0,68.2
994,David Limberský,"1,100,000","1,834,216",36,71.0,73.0,74.3,70.7,72.9,66.0,10.8
995,Robert Gumny,"3,599,999","1,830,709",22,67.5,65.7,57.8,61.0,78.6,41.4,9.6
996,Özgür Çek,"1,500,000","1,826,392",29,70.0,65.3,66.0,68.0,73.9,64.0,10.6
997,José Sand,"2,200,000","1,824,706",40,71.0,30.3,70.7,55.0,53.7,74.5,13.0
998,Gauthier Hein,"1,100,000","1,822,301",24,70.0,33.3,56.2,63.0,71.3,61.0,9.8
999,Etxeita,"4,199,999","1,820,363",32,56.0,73.0,58.2,51.0,62.7,42.4,7.6
1000,Jozo Šimunović,"3,499,999","1,819,745",26,61.5,70.3,61.0,53.0,67.7,42.6,7.6
1001,Tom Lees,"2,300,000","1,818,112",29,61.0,70.3,61.2,57.3,65.3,36.9,13.0
1002,Mihai Bordeianu,"1,799,999","1,817,477",28,69.5,67.7,67.3,59.0,70.1,43.9,9.6
1003,Nasser Chamed,"1,100,000","1,815,549",26,71.5,34.7,53.0,61.7,70.9,65.2,8.6
1004,Yeom Ki Hun,"800,000","1,813,054",37,71.0,30.3,68.8,72.7,67.7,72.1,8.6
1005,Sadio Diallo,"900,000","1,812,980",29,71.0,46.3,60.5,66.0,69.4,70.4,11.4
1006,Nathael Silbeira,"1,799,999","1,812,420",24,20.0,14.0,37.0,15.3,25.9,22.4,69.2
1007,Cebio Soukou,"1,100,000","1,811,514",27,70.5,32.0,55.5,63.0,74.1,62.2,8.8
1008,Yannick Stark,"1,600,000","1,809,648",29,65.0,68.7,67.3,66.0,72.1,64.1,8.8
1009,Christos Donis,"2,300,000","1,809,477",25,69.0,62.0,65.7,69.3,68.9,60.4,9.2
1010,Quentin Cornette,"1,100,000","1,808,576",26,70.5,41.7,61.2,63.0,71.1,63.8,11.0
1011,Noni Madueke,"1,299,999","1,807,700",18,74.5,37.0,52.5,56.7,72.0,54.2,10.2
1012,Luis Cárdenas,"1,699,999","1,806,924",26,20.0,18.7,39.7,37.7,45.4,22.9,69.4
1013,André Hahn,"3,999,999","1,805,230",30,67.0,54.7,70.7,68.3,72.6,66.4,13.4
1014,Connor Wickham,"2,099,999","1,801,539",27,67.5,25.7,59.0,60.3,54.1,68.1,10.4
1015,Ubong Ekpai,"1,400,000","1,801,088",24,71.5,21.0,53.2,60.7,69.0,59.0,10.8
1016,Nahuel Barrios,"1,600,000","1,800,252",22,73.0,45.0,53.8,63.0,72.9,57.8,9.2
1017,Samuele Birindelli,"1,799,999","1,800,092",21,69.5,66.7,59.8,62.7,73.7,52.0,11.6
1018,Leonel Galeano,"2,500,000","1,796,469",29,57.5,70.3,62.7,58.7,62.9,42.8,11.8
1019,Guto Milazar,"2,099,999","1,792,821",28,61.0,71.0,55.8,70.0,69.3,46.0,10.6
1020,Wagner Laranjo,"2,800,000","1,792,189",36,76.0,73.0,71.7,74.0,69.1,70.4,11.2
1021,Grigoris Kastanos,"1,100,000","1,790,408",22,74.0,27.3,53.5,60.0,62.4,54.6,7.2
1022,Stéphane Bahoken,"6,000,000","1,785,639",28,70.5,16.7,55.7,56.0,74.4,61.8,12.2
1023,Jonathan Benítez,"2,500,000","1,781,995",29,71.5,29.3,60.0,64.7,73.3,54.6,10.8
1024,Raphaël Nuzzolo,"2,599,999","1,778,678",37,75.0,40.0,61.0,74.3,74.0,73.8,10.8
1025,Luis Fernando León,"3,399,999","1,778,306",27,53.0,72.3,49.3,41.7,58.0,42.9,11.6
1026,Dalmau,"3,000,000","1,777,871",26,67.0,35.0,54.5,50.3,69.3,67.2,10.2
1027,Daguinho Parrela,"1,699,999","1,776,951",24,58.0,69.0,62.2,72.0,70.3,48.0,12.2
1028,Ben Osborn,"3,699,999","1,776,519",26,69.5,66.7,61.7,68.3,71.1,62.8,11.2
1029,Jesper Karlström,"2,200,000","1,776,430",25,65.5,67.7,65.2,65.3,69.4,56.6,11.2
1030,Matthias Ostrzolek,"874,999","1,775,278",30,72.5,62.3,65.0,70.7,71.0,52.6,11.4
1031,Weilson Leal,"924,999","1,775,056",32,71.5,28.0,59.3,61.0,69.0,65.5,10.6
1032,Gabriel Iancu,"1,100,000","1,773,314",26,67.5,31.7,57.5,67.3,68.0,68.8,9.0
1033,Oleksiy Shevchenko,"1,500,000","1,772,371",28,13.5,15.0,30.7,23.7,37.0,15.9,70.0
1034,Jens Jønsson,"1,699,999","1,770,328",27,67.0,67.3,66.5,63.0,73.0,53.4,10.2
1035,Andreas Granqvist,"2,099,999","1,768,689",35,55.0,74.3,67.3,61.0,50.4,55.4,10.6
1036,Bryan Oviedo,"874,999","1,767,504",30,69.5,66.0,67.3,68.0,74.3,58.4,11.4
1037,Uche Agbo,"1,100,000","1,766,241",24,63.5,66.3,66.8,59.3,63.6,55.9,9.8
1038,Miguel Barbieri,"2,800,000","1,761,496",27,48.0,69.3,56.7,41.0,67.6,40.1,10.6
1039,Gaëtan Robail,"1,199,999","1,756,463",26,71.5,51.0,55.3,72.3,64.9,60.9,11.6
1040,Matthieu Udol,"1,100,000","1,756,270",24,63.5,68.3,63.3,61.7,69.4,45.6,11.6
1041,Robin Lod,"2,500,000","1,754,038",27,71.5,51.7,60.7,68.7,68.9,67.1,10.6
1042,Guillermo Acosta,"2,200,000","1,751,244",31,70.0,57.0,69.5,67.3,78.1,63.9,11.0
1043,Jaka Bijol,"2,800,000","1,750,140",21,60.0,69.7,63.0,61.7,66.6,57.9,11.0
1044,Andrés Rentería,"1,100,000","1,750,130",27,72.0,19.7,51.3,56.0,73.3,64.9,13.2
1045,Diego Falcinelli,"2,399,999","1,747,197",29,71.0,16.7,55.3,50.0,66.7,60.4,8.8
1046,Jaime Gómez,"1,199,999","1,745,602",27,71.0,64.7,64.3,64.7,73.6,60.5,9.8
1047,Kastriot Dermaku,"1,100,000","1,745,158",28,42.5,70.0,56.3,49.3,62.3,43.4,8.0
1048,Jake Bidwell,"1,100,000","1,744,046",27,64.0,68.3,65.5,67.0,67.3,49.9,12.4
1049,Alan Mozo,"3,000,000","1,743,170",23,68.5,69.7,57.2,67.0,71.3,38.0,9.4
1050,Evangelos Pavlidis,"4,699,999","1,742,011",21,67.0,41.0,59.0,57.0,72.9,65.1,12.2
1051,Konstantin Kerschbaumer,"2,700,000","1,739,964",28,67.5,60.7,70.3,67.0,73.6,59.4,12.2
1052,Nolan Roux,"2,099,999","1,739,556",32,71.0,29.7,58.5,62.3,69.4,67.5,9.8
1053,Jordi Quintillà,"2,900,000","1,737,771",26,69.5,58.7,64.3,70.3,69.7,64.5,10.2
1054,Hélder Ferreira,"999,999","1,736,378",23,70.5,30.3,53.5,65.0,66.6,58.4,10.8
1055,Jake Cooper,"2,800,000","1,732,823",25,52.5,69.3,55.7,48.0,61.6,37.5,10.6
1056,Vladimir Hernández,"2,200,000","1,722,719",31,70.5,33.3,54.8,65.3,78.0,57.9,12.8
1057,Joel Andersson,"1,299,999","1,719,948",23,66.5,63.3,65.7,65.3,75.3,47.2,10.4
1058,Patrick Pentz,"800,000","1,719,232",23,20.0,18.0,36.3,23.3,56.3,20.6,68.2
1059,Riad Bajić,"2,200,000","1,716,169",26,67.0,17.7,50.2,49.7,59.6,67.1,10.8
1060,Katsuya Nagato,"1,100,000","1,715,349",25,62.0,64.7,62.8,71.0,74.0,49.1,9.0
1061,Karim El Ahmadi,"2,200,000","1,714,742",35,72.5,71.3,72.3,69.0,69.3,62.0,12.2
1062,Georgiy Bushchan,"2,300,000","1,714,183",26,14.5,11.7,30.7,21.3,34.9,15.1,69.6
1063,Wessel Dammers,"999,999","1,711,188",25,61.0,67.0,60.7,46.0,68.3,57.4,12.2
1064,Romario Benzar,"1,600,000","1,707,627",28,61.5,69.3,66.2,66.7,70.0,58.9,7.6
1065,Marek Suchý,"4,199,999","1,701,616",32,62.5,73.0,62.8,61.7,66.3,51.9,12.4
1066,Bafodé Diakité,"1,699,999","1,701,595",19,56.0,68.7,57.2,59.0,66.3,43.5,8.6
1067,Gaëtan Belaud,"1,100,000","1,699,997",33,69.5,72.0,67.3,65.3,69.4,54.4,12.2
1068,Jorrit Smeets,"849,999","1,697,069",25,64.5,67.7,65.0,63.7,67.1,49.8,10.2
1069,Maximilian Wittek,"2,200,000","1,695,574",25,67.5,66.3,62.2,67.3,75.4,64.2,11.8
1070,Renato Chaves,"1,500,000","1,695,027",30,49.5,71.7,56.8,55.0,62.4,50.1,10.6
1071,Jaume Grau,"1,199,999","1,689,664",23,66.0,66.3,63.2,70.0,60.0,52.8,10.2
1072,Nuno Pinto,"1,100,000","1,688,480",34,72.5,72.0,68.3,70.7,64.1,59.9,11.2
1073,Gary Kagelmacher,"1,799,999","1,688,462",32,62.5,71.3,66.2,69.3,69.6,58.2,11.6
1074,Gadi Kinda,"1,299,999","1,687,797",26,75.5,54.0,63.8,64.3,72.1,49.4,9.6
1075,Paulinho,"2,099,999","1,687,161",29,69.5,67.3,64.7,62.0,77.4,54.5,9.6
1076,Marvin Stefaniak,"1,100,000","1,684,097",25,69.5,27.0,52.0,62.3,73.0,62.9,11.2
1077,Lior Refaelov,"3,399,999","1,683,734",34,75.0,48.0,63.8,69.7,65.3,72.4,10.4
1078,Ewerton,"3,200,000","1,683,551",31,61.5,72.0,61.5,55.3,64.7,45.1,10.0
1079,Maximiliano Lugo,"849,999","1,681,132",30,76.5,51.7,61.8,69.0,59.6,60.0,10.0
1080,Omar Richards,"1,500,000","1,681,109",21,67.5,67.3,57.0,57.0,73.7,40.6,10.8
1081,Yuki Kobayashi,"1,900,000","1,678,838",28,73.0,47.7,61.3,68.3,65.0,63.5,8.6
1082,Mustafa Saymak,"2,099,999","1,677,861",27,71.0,40.3,63.3,62.7,70.1,59.8,9.6
1083,Federico Gino,"999,999","1,677,377",27,66.5,66.3,66.5,67.7,65.7,50.8,10.6
1084,Marko Đira,"1,199,999","1,675,993",21,68.0,62.3,65.8,60.7,73.9,53.0,10.2
1085,Blessing Eleke,"1,299,999","1,675,704",24,65.0,40.0,62.0,49.3,71.1,62.4,9.4
1086,Mohamed Yattara,"1,299,999","1,670,094",27,67.0,18.7,53.8,53.7,72.3,63.4,9.0
1087,Rodolfo Gamarra,"1,699,999","1,668,803",31,68.5,20.7,63.5,70.0,67.6,66.4,11.0
1088,Hugo Rodríguez,"2,599,999","1,667,780",30,55.0,71.3,60.5,54.3,62.1,50.5,11.4
1089,Hicham Faik,"1,799,999","1,663,818",28,69.5,55.3,64.2,74.7,58.9,68.1,10.0
1090,Hiroshi Kiyotake,"1,699,999","1,662,373",30,70.5,38.7,56.8,70.0,69.9,67.6,10.8
1091,Claudio Beauvue,"2,099,999","1,662,152",32,70.0,30.3,57.8,65.3,68.3,71.1,13.4
1092,Afonso Figueiredo,"1,100,000","1,660,577",27,68.5,67.3,64.5,64.0,71.6,48.2,10.4
1093,Tendayi Darikwa,"2,099,999","1,660,226",28,67.0,68.3,64.5,60.3,76.0,47.4,10.8
1094,Martín Ezequiel Cañete,"849,999","1,659,807",21,69.0,16.3,53.5,56.3,67.3,58.1,9.2
1095,Alex Muyl,"1,400,000","1,658,391",24,67.5,63.3,64.3,63.0,79.6,54.8,10.2
1096,Néstor Albiach,"750,000","1,656,643",28,67.0,22.3,58.7,56.7,71.0,62.5,10.4
1097,Aleksandar Trajkovski,"2,099,999","1,653,943",28,76.0,20.7,51.7,63.7,67.6,69.9,12.0
1098,Rodrigo Fernandes,"1,199,999","1,652,075",19,67.5,63.3,65.2,60.3,67.4,58.4,10.0
1099,Wallace,"3,000,000","1,650,775",32,54.0,71.3,63.3,62.7,53.6,51.8,9.4
1100,Nail Umyarov,"1,799,999","1,646,788",20,69.0,65.7,62.7,62.0,61.6,48.5,10.2
1101,Saša Živec,"1,100,000","1,645,774",29,71.0,35.7,53.2,64.0,76.1,62.8,10.4
1102,Paul Seguin,"2,200,000","1,644,641",25,66.0,67.7,63.0,65.3,68.9,50.5,10.8
1103,Enzo Coacci,"1,500,000","1,643,728",22,69.0,35.0,56.7,63.3,73.6,55.2,10.4
1104,Ramahlwe Mphahlele,"874,999","1,636,815",30,66.5,72.0,55.7,66.3,66.7,40.4,11.8
1105,Allison Sireo,"2,200,000","1,635,755",20,41.5,70.3,60.2,43.0,57.9,41.5,11.2
1106,Lassi Lappalainen,"1,400,000","1,630,681",22,70.5,33.0,57.2,59.3,71.9,55.0,8.4
1107,Tsukasa Shiotani,"2,500,000","1,625,251",31,57.0,70.3,68.0,61.3,69.9,59.4,10.0
1108,Erik Berg,"2,500,000","1,624,698",31,58.0,71.7,62.5,58.3,60.4,52.4,12.6
1109,Sondre Rossbach,"1,900,000","1,623,421",24,20.0,17.0,38.0,20.0,51.3,21.1,68.6
1110,Rafał Wolski,"1,100,000","1,621,641",27,68.5,29.3,61.5,68.0,67.0,60.1,11.4
1111,Adolfo Gaich,"4,600,000","1,620,871",21,67.0,26.0,54.7,51.7,67.1,60.2,10.0
1112,Mikael Lustig,"1,500,000","1,620,007",33,66.0,72.0,64.8,70.7,60.4,55.4,10.0
1113,Nicolás Domingo,"2,200,000","1,618,526",35,67.0,74.3,68.8,69.0,64.3,58.5,12.4
1114,Timothy Tillman,"800,000","1,617,936",21,72.0,28.3,47.2,64.7,65.4,46.9,10.6
1115,Ao Tanaka,"1,199,999","1,616,312",21,66.0,64.7,64.7,63.3,70.1,53.2,10.8
1116,Philipp Riese,"1,500,000","1,615,953",30,61.0,69.0,65.2,66.0,75.1,52.0,9.6
1117,Alexandru Mățan,"1,600,000","1,611,966",21,69.5,32.7,53.2,61.3,73.3,54.6,11.0
1118,Kerim Mrabti,"2,300,000","1,609,017",26,70.0,55.0,66.7,63.3,81.1,58.1,7.6
1119,Adama Niane,"1,299,999","1,608,056",27,67.0,14.0,52.8,49.7,69.6,62.8,9.4
1120,Chris Maguire,"725,000","1,607,623",31,66.5,35.3,63.7,64.3,72.0,67.8,12.6
1121,Dara O'Shea,"1,299,999","1,601,809",21,53.0,68.3,53.7,55.3,66.6,38.2,9.0
1122,Marco Djuricin,"774,999","1,599,981",27,65.0,20.7,54.8,52.0,74.6,63.0,9.4
1123,Edgar Barreto,"1,199,999","1,593,713",36,69.5,73.3,72.2,70.3,58.6,67.8,12.2
1124,Cristian Calderón,"2,200,000","1,586,909",23,66.0,67.3,59.2,64.0,72.0,40.0,9.2
1125,Linus Wahlqvist,"874,999","1,584,167",23,66.0,64.3,62.7,67.3,72.7,50.1,9.6
1126,Sebastian Eriksson,"824,999","1,582,364",31,63.5,62.0,71.3,68.3,62.4,56.0,5.0
1127,Michele Di Gregorio,"1,199,999","1,580,985",23,19.0,14.3,30.0,17.0,43.3,17.4,68.4
1128,Ledian Memushaj,"2,399,999","1,576,883",33,71.0,64.0,69.8,70.7,73.7,62.1,10.6
1129,Hiroaki Okuno,"1,100,000","1,576,203",31,70.0,35.0,56.8,67.7,74.0,64.5,9.2
1130,Vladimir Loroña,"1,199,999","1,573,893",21,67.0,66.0,58.7,64.3,71.6,43.2,8.8
1131,Simone Iacoponi,"1,900,000","1,573,403",33,52.5,72.0,58.0,52.3,72.1,37.5,10.6
1132,Denis Linsmayer,"2,399,999","1,573,340",28,63.5,69.0,63.7,64.0,71.4,50.8,14.2
1133,Yahia Sulaiman Al Shehri,"1,699,999","1,572,638",30,71.5,32.7,59.0,69.7,63.3,61.9,13.2
1134,Kota Mizunuma,"1,699,999","1,571,097",30,69.5,35.3,57.0,72.0,66.4,58.1,12.0
1135,Albert Vallci,"2,800,000","1,570,765",25,60.5,69.7,61.0,60.0,72.3,57.6,9.6
1136,Yves Baraye,"3,299,999","1,570,604",28,74.5,50.7,61.2,65.7,71.9,55.9,9.2
1137,Cristian Ganea,"999,999","1,563,453",28,67.0,66.0,64.3,69.0,71.7,64.9,8.2
1138,Jhon Espinoza,"824,999","1,559,643",21,59.5,68.0,58.7,56.7,71.4,43.0,12.0
1139,Luis Quintana,"3,099,999","1,557,829",28,64.0,71.3,56.5,54.7,67.0,41.9,11.4
1140,Borja Valle,"2,500,000","1,557,293",28,70.5,45.0,59.0,67.7,70.4,66.8,9.4
1141,Juan Carlos Paredes,"1,699,999","1,553,647",33,68.0,68.0,60.5,63.7,81.1,49.1,13.4
1142,Jann-Fiete Arp,"1,600,000","1,553,272",20,69.0,18.3,51.2,44.3,67.4,56.8,10.8
1143,Andrew Gravillon,"1,299,999","1,550,581",22,45.5,68.0,54.5,44.0,62.1,36.9,11.4
1144,Saúl,"2,099,999","1,547,119",25,68.0,68.7,59.0,65.7,64.4,52.4,12.0
1145,Patrick Mullins,"575,000","1,544,248",28,63.5,22.0,55.5,36.3,59.6,60.5,9.8
1146,Mirnes Pepić,"900,000","1,544,069",24,72.0,60.3,64.0,62.0,70.7,54.1,12.2
1147,Roly Bonevacia,"1,100,000","1,541,130",28,69.5,59.3,64.3,66.3,78.6,61.2,14.6
1148,Fafà Picault,"924,999","1,540,900",29,69.5,33.3,61.0,60.0,73.7,61.6,8.0
1149,Fontàs,"1,999,999","1,540,413",30,62.5,70.7,64.3,67.7,45.7,53.4,13.2
1150,Ousseynou Ba,"2,099,999","1,538,129",24,46.0,68.0,54.8,44.0,68.7,37.2,12.0
1151,Ricardo Mangas,"924,999","1,534,454",22,60.0,67.7,60.3,56.0,64.0,37.2,10.0
1152,Nery Leyes,"1,999,999","1,533,359",31,62.0,71.0,64.2,62.7,65.6,51.4,12.0
1153,Andreas Geipl,"824,999","1,533,137",28,61.5,70.3,59.7,62.0,73.4,53.5,10.8
1154,Fredrik Haugen,"999,999","1,528,851",28,68.0,59.7,66.8,68.7,71.9,63.8,12.6
1155,Andreas Gruber,"1,199,999","1,525,095",25,66.5,26.0,54.7,65.7,73.3,63.1,11.2
1156,Dani Ramírez,"949,999","1,523,311",28,71.5,31.7,54.5,63.7,67.1,62.9,9.6
1157,Fabio González,"1,199,999","1,522,487",23,62.5,68.3,61.5,61.3,66.9,51.9,8.2
1158,Hadi Sacko,"1,100,000","1,521,676",26,68.5,22.7,54.2,59.7,72.7,61.1,9.4
1159,Sebastián Sáez,"1,600,000","1,521,638",35,69.5,19.0,56.7,46.7,66.3,63.6,7.6
1160,Robert Leipertz,"1,900,000","1,521,451",27,69.5,30.7,55.3,61.0,74.4,60.4,11.6
1161,Mohammed Al Kuwaykibi,"975,000","1,521,184",25,72.0,25.0,47.3,56.3,79.6,60.2,9.8
1162,Fabián Viáfara,"924,999","1,520,912",28,63.5,67.0,59.3,63.7,79.7,48.4,10.8
1163,Vito Wormgoor,"3,200,000","1,519,536",31,57.0,71.0,62.0,57.3,54.1,53.9,11.8
1164,Go Yo Han,"1,999,999","1,514,796",32,66.0,62.0,67.5,68.7,82.1,57.4,13.4
1165,Mo Adams,"924,999","1,514,707",23,63.5,69.7,57.3,56.0,67.9,47.4,10.0
1166,Eddy Sylvestre,"849,999","1,514,429",21,72.0,24.3,51.2,55.3,59.6,61.2,10.4
1167,Andrey Estupiñán,"2,300,000","1,513,865",26,73.5,43.3,57.3,62.3,75.1,52.8,10.2
1168,Chris Willock,"1,600,000","1,513,061",22,74.5,21.3,52.3,54.7,70.9,49.0,9.0
1169,Darijan Bojanić,"1,400,000","1,513,000",25,69.0,55.3,62.7,72.0,63.1,63.2,9.8
1170,Lassana Coulibaly,"1,100,000","1,510,808",24,67.5,64.7,64.8,61.7,72.1,52.0,9.8
1171,Ismaïl Aissati,"2,200,000","1,508,913",32,72.0,34.3,59.0,68.7,67.4,59.5,11.2
1172,André Sousa,"999,999","1,507,715",30,70.0,57.3,66.8,68.7,67.7,68.5,9.0
1173,Liam Kelly,"949,999","1,502,908",24,20.0,14.0,30.7,27.3,41.7,22.6,68.8
1174,Florian Tardieu,"2,399,999","1,502,464",28,64.0,67.3,65.8,68.3,68.7,58.9,12.6
1175,Andreas Luthe,"1,900,000","1,501,776",33,13.0,14.0,31.7,19.0,46.0,18.6,70.4
1176,Jens Stage,"1,299,999","1,498,523",23,68.0,60.3,64.5,66.7,70.7,56.6,8.8
1177,Bryan Angulo,"3,299,999","1,498,311",24,72.5,13.7,45.8,46.3,74.3,64.2,8.4
1178,René Klingenburg,"1,100,000","1,495,616",26,71.5,55.7,65.5,62.0,67.0,57.8,10.8
1179,Markus Schubert,"2,399,999","1,494,267",22,26.5,11.3,33.0,29.0,45.9,15.1,68.4
1180,Baïssama Sankoh,"924,999","1,493,207",28,63.5,70.7,56.8,63.3,65.7,43.0,10.2
1181,Nilsito Vilela,"2,800,000","1,488,679",32,74.0,13.0,57.8,60.3,73.3,64.0,11.0
1182,Kacper Przybyłko,"2,800,000","1,488,467",27,66.5,22.3,54.5,52.7,69.1,63.2,13.0
1183,Leonardo Capezzi,"1,100,000","1,488,055",25,65.0,56.7,68.2,67.7,59.1,59.6,9.2
1184,Cheick Keita,"900,000","1,487,812",24,71.0,64.3,62.0,65.3,68.7,40.8,11.6
1185,Nathaniel Atkinson,"625,000","1,487,469",21,64.5,63.0,60.5,58.3,81.4,44.5,11.2
1186,Callum McManaman,"900,000","1,486,527",29,73.0,21.3,59.2,60.0,64.6,55.4,12.4
1187,Hugo Vieira,"999,999","1,484,650",32,69.5,24.0,59.7,60.0,74.9,62.6,11.4
1188,Fernando,"5,499,999","1,482,539",21,77.0,31.3,53.0,56.7,65.0,51.5,7.4
1189,William Mendieta,"2,200,000","1,478,575",31,72.0,33.0,55.7,70.7,63.7,62.5,14.2
1190,Shogo Taniguchi,"2,200,000","1,477,860",29,59.5,69.7,60.8,64.7,69.6,46.2,12.0
1191,Pape Gueye,"2,200,000","1,477,814",21,67.0,65.7,62.3,62.3,64.7,45.5,12.4
1192,Nicolai Poulsen,"1,199,999","1,472,333",27,65.0,66.3,66.5,62.3,68.3,47.9,11.2
1193,Johannes Brinkies,"999,999","1,469,761",27,15.0,10.0,33.5,24.3,55.7,19.0,68.8
1194,Aiden O'Brien,"1,199,999","1,469,371",26,67.5,29.0,58.8,65.7,71.4,58.6,11.0
1195,Andrea La Mantia,"1,799,999","1,468,470",29,65.0,21.7,55.5,33.7,61.7,57.9,9.2
1196,Mohammed Dauda,"999,999","1,467,115",22,68.5,19.7,49.5,54.3,74.1,61.1,13.0
1197,Paulo Magalhães,"874,999","1,466,854",30,60.0,69.0,61.7,64.7,75.0,47.5,11.6
1198,Sean Maguire,"2,099,999","1,465,674",26,70.5,33.3,58.3,53.0,81.7,56.0,12.4
1199,Martin Kobylański,"949,999","1,459,397",26,68.0,31.7,54.3,60.3,70.3,65.1,10.2
1200,Jurado,"2,399,999","1,459,336",34,74.0,27.7,59.8,74.7,59.9,69.8,10.4
1201,George Friend,"1,299,999","1,459,116",32,69.5,72.7,62.3,62.3,67.9,55.4,11.4
1202,Eric Larsson,"924,999","1,458,162",29,62.0,67.3,67.0,65.7,74.6,56.0,10.0
1203,Mihai Bălașa,"2,099,999","1,456,908",25,51.5,69.7,59.3,57.0,70.0,55.1,10.0
1204,Andreas Vindheim,"2,200,000","1,454,652",25,67.5,63.3,65.7,63.3,72.6,55.5,10.0
1205,Armando Méndez,"2,200,000","1,453,060",24,59.0,70.3,56.8,68.3,70.1,35.5,12.6
1206,Cristián Cuevas,"900,000","1,452,063",25,66.0,65.7,61.8,65.3,74.7,54.1,9.6
1207,Marky Delgado,"1,199,999","1,451,101",25,66.0,65.3,65.2,62.0,72.3,52.1,11.0
1208,Djihad Bizimana,"924,999","1,447,634",23,63.5,64.0,63.7,68.0,68.4,63.9,8.2
1209,Edgar,"1,400,000","1,447,003",23,62.0,68.7,57.2,63.7,55.4,37.0,9.6
